City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
317,Gondanglegi,ID,75.67,-7.7479,112.0132,heavy intensity rain,Gg. Munasir Homestay
322,Alyangula,AU,73.27,-13.8483,136.4192,overcast clouds,Groote Eylandt Lodge
325,Natal,BR,86.65,-5.795,-35.2094,scattered clouds,Villa Park Hotel | Natal
328,Itarema,BR,87.37,-2.9248,-39.9167,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
331,Dordrecht,NL,70.05,51.81,4.6736,scattered clouds,Bastion Hotel Dordrecht - Papendrecht
332,Fethiye,TR,76.87,36.6217,29.1164,clear sky,Club & Hotel Letoonia
334,Chiredzi,ZW,71.13,-21.05,31.6667,clear sky,The Nesbitt Arms
337,Meulaboh,ID,78.87,4.1363,96.1285,overcast clouds,Kost Pria
338,Batasan,PH,83.12,12.7667,120.7833,overcast clouds,CORDERO Beach Resort
350,Sorong,ID,80.53,-0.8833,131.25,overcast clouds,waigo splash hotel
351,Tura,IN,78.13,25.5198,90.2201,few clouds,Hotel RIKMAN Continental
354,Hefei,CN,75.22,31.8639,117.2808,light rain,Jinhuan Hotel
359,Matara,LK,79.03,5.9485,80.5353,broken clouds,Amaloh Boutique Resort
362,Itaituba,BR,89.76,-4.2761,-55.9836,broken clouds,Hotel Campos
367,Meiganga,CM,76.1,6.5167,14.3,overcast clouds,DFR HOUSE
368,Monte Patria,CL,74.91,-30.6919,-70.9467,clear sky,Hotel Monte Cordillera
369,Campos,BR,87.85,-21.75,-41.3,clear sky,Palace Hotel - Campos dos Goytacazes
370,San Policarpo,PH,81.57,12.1791,125.5072,scattered clouds,JM Lodge
373,Mantua,IT,79.84,45.1667,10.7833,broken clouds,Hotel la Favorita
377,Wanning,CN,82.08,18.8003,110.3967,broken clouds,Paradise Hotel
378,Chakulia,IN,84.6,22.4833,86.7167,overcast clouds,BKD
380,Palmerston,AU,71.58,-12.485999999999999,130.9833,broken clouds,Quest Palmerston - Serviced Apartments and Accommodation
384,Saint-Pierre,RE,73.08,-21.3393,55.4781,few clouds,Lindsey Hôtel
386,Riohacha,CO,85.57,11.5444,-72.9072,overcast clouds,Hotel Taroa
389,Benguela,AO,82.13,-12.5763,13.4055,scattered clouds,Hotel Praia Morena
391,Bubaque,GW,79.5,11.2833,-15.8333,scattered clouds,"Casa Dora, Bubaque"
392,Parli,IN,79.57,18.8486,76.5297,moderate rain,Hotel Arya Executive
402,Sapele,NG,84.45,5.8941,5.6767,moderate rain,Movig Hotel & Suites
403,Pimenta Bueno,BR,89.01,-11.6725,-61.1936,few clouds,Cristalina Palace Hotel
406,Paraiso,CR,76.96,9.8383,-83.8656,overcast clouds,Rinconcito Verde
407,Maun,BW,80.56,-19.9833,23.4167,clear sky,Enviro Villa
408,Ofaqim,IL,79.72,31.3141,34.6203,clear sky,The Negev Experience
409,Ambulu,ID,76.69,-8.345,113.6058,broken clouds,Hotel Ambulu Jember
414,Sijunjung,ID,72.52,-0.6876,100.9537,overcast clouds,Hotel Bukik Gadang
417,The Valley,AI,87.66,18.217,-63.0578,scattered clouds,CeBlue Villas & Beach Resort
425,Biscarrosse,FR,75.49,44.3945,-1.1672,broken clouds,Saint Hubert
432,Brokopondo,SR,80.51,4.75,-55.1667,overcast clouds,Matu Island
435,Birjand,IR,86.47,32.8663,59.2211,clear sky,Birjand Tourist Hotel
